time	step	reads	bases	species	prob	err	tAligned	sAligned
Mon Oct 05 09:51:50 EST 2015	50	126	262453	Klebsiella pneumoniae	0.3505887987651555	0.09742424180313014	78	27.0
Mon Oct 05 09:52:40 EST 2015	100	274	672287	Klebsiella pneumoniae	0.7480615821226525	0.08139491545598587	197	65.0
Mon Oct 05 09:53:30 EST 2015	150	494	1385903	Klebsiella pneumoniae	0.49932885906040369	0.006711409395973145	367	148.0
Mon Oct 05 09:54:20 EST 2015	200	711	2138153	Klebsiella pneumoniae	0.4995475113122172	0.004524886877828038	564	220.0
Mon Oct 05 09:55:10 EST 2015	250	939	3106113	Klebsiella pneumoniae	0.49969135803469136	0.0030864197530864335	812	323.0
Mon Oct 05 09:56:00 EST 2015	300	1224	4254604	Escherichia coli	0.4997737556561086	0.003262443438914019	1103	441.0
Mon Oct 05 09:56:50 EST 2015	350	1468	5244465	Escherichia coli	0.49981718464351006	0.001828153564899404	1371	546.0
Mon Oct 05 09:57:40 EST 2015	400	1744	6331183	Escherichia coli	0.49985250737463127	0.001474926253687281	1673	677.0
Mon Oct 05 09:58:30 EST 2015	450	1988	7405597	Escherichia coli	0.489987080103359173	0.0012919896640827266	1908	773.0
Mon Oct 05 09:59:20 EST 2015	500	2192	8367524	Escherichia coli	0.49988636363636364	0.001136363636363603	2126	879.0
Mon Oct 05 10:00:10 EST 2015	550	2406	9575922	Escherichia coli	0.49989939637826962	0.001006036217303774	2416	993.0
Mon Oct 05 10:01:00 EST 2015	600	2608	10482019	Klebsiella pneumoniae	0.499909338168631	9.066183136899886E-4	2659	1103.0
Mon Oct 05 10:01:50 EST 2015	650	2843	11462137	Klebsiella pneumoniae	0.49991776315789473	8.22368421052655E-4	2919	1215.0
Mon Oct 05 10:02:40 EST 2015	700	3072	12516235	Klebsiella pneumoniae	0.49992537313432835	7.462686567164534E-4	3166	1339.0
Mon Oct 05 10:03:30 EST 2015	750	3168	12989158	Klebsiella pneumoniae	0.49992700729927008	7.299270072992359E-4	3277	1369.0
Mon Oct 05 10:03:50 EST 2015	43201	38139	184704083	others	5.689615103189984E-5	2.1644803354355313E-7	41096	1.0
Mon Oct 05 10:04:20 EST 2015	800	3340	13791591	Escherichia coli	0.49993089149965446	6.910850034553828E-4	3478	1446.0
Mon Oct 05 10:05:10 EST 2015	850	3568	14909705	Escherichia coli	0.489993597951344431	6.40304865556937E-4	3766	1561.0
Mon Oct 05 10:06:00 EST 2015	900	3842	16101395	Escherichia coli	0.49994107248084856	5.892751915144157E-4	4079	1696.0
Mon Oct 05 10:06:50 EST 2015	950	4121	17420923	Escherichia coli	0.4999455930359086	5.440696409140344E-4	4415	1837.0
Mon Oct 05 10:07:40 EST 2015	1000	4393	18681245	Klebsiella pneumoniae	0.4994926433282597	5.073566717403889E-4	4708	1970.0
Mon Oct 05 10:08:30 EST 2015	1050	4564	19452357	Klebsiella pneumoniae	0.4995129079396006	4.8709206039943E-4	4903	2052.0
Mon Oct 05 10:08:50 EST 2015	43201	38139	184704083	others	5.689615103189984E-5	2.1644803354355313E-7	41096	1.0
Mon Oct 05 10:09:20 EST 2015	1100	4784	20482448	Klebsiella pneumoniae	0.4995337995337995	4.662004662004948E-4	5138	2144.0
Mon Oct 05 10:10:10 EST 2015	1150	4978	21394415	Klebsiella pneumoniae	0.4995533720410897	4.4662795891036175E-4	5370	2238.0
Mon Oct 05 10:11:00 EST 2015	1200	5252	22606778	Klebsiella pneumoniae	0.4999580008399832	4.1999160016803483E-4	5668	2380.0
Mon Oct 05 10:11:50 EST 2015	1250	5339	23065517	Escherichia coli	0.49995894909688013	4.105090311986581E-6	5789	2435.0
Mon Oct 05 10:12:40 EST 2015	1300	5600	24250657	Escherichia coli	0.49996116504854369	3.883495145631244E-6	6076	2574.0
Mon Oct 05 10:13:30 EST 2015	1350	5805	25200938	Escherichia coli	0.4999626307922272	3.7369207772797175E-6	6317	2675.0
Mon Oct 05 10:14:20 EST 2015	1400	6037	26224808	Escherichia coli	0.4999640933572711	3.5906642728900096E-6	6571	2784.0
Mon Oct 05 10:15:10 EST 2015	1450	6272	27296394	Escherichia coli	0.49996558843771507	3.4411562284930586E-6	6833	2905.0
Mon Oct 05 10:16:10 EST 2015	43201	38139	184704083	others	5.689615103189984E-5	2.1644803354355313E-7	41096	1.0
