time	step	reads	bases	strain	prob	low	high	genes
Mon Oct 05 09:51:49 EST 2015	50	127	267253	Klebsiella_pneumoniae_ATCC_BAA-2146_STST_27	0.9982716504285244	0.9982715026963197	0.0017283322478820473	89
Mon Oct 05 09:51:49 EST 2015	50	127	267253	Escherichia coli_CCAT_AAB-9763_STST_73	0.9982716504285244	0.9982715026963197	0.0017283322478820473	89
Mon Oct 05 09:52:39 EST 2015	100	274	672287	Klebsiella_pneumoniae_ATCC_BAA-2146_STST_27	1.0	3.1441516057384433E-13	0.0	191
Mon Oct 05 09:52:49 EST 2015	100	274	672287	Escherichia coli_CCAT_AAB-9763_STST_73	1.0	3.1441516057384433E-13	0.0	191
Mon Oct 05 09:53:29 EST 2015	150	485	1389873	Klebsiella_pneumoniae_ATCC_BAA-2146_STST_27	1.0	0.0	0.0	377
Mon Oct 05 09:53:39 EST 2015	150	485	1389873	Escherichia coli_CCAT_AAB-9763_STST_73	1.0	0.0	0.0	377
Mon Oct 05 09:54:19 EST 2015	200	710	2146297	Klebsiella_pneumoniae_ATCC_BAA-2146_STST_27	1.0	0.0	0.0	630
Mon Oct 05 09:54:29 EST 2015	200	710	2146297	Escherichia coli_CCAT_AAB-9763_STST_73	1.0	0.0	0.0	630
Mon Oct 05 09:55:09 EST 2015	250	954	3181141	Klebsiella_pneumoniae_ATCC_BAA-2146_STST_27	1.0	0.0	0.0	942
Mon Oct 05 09:55:19 EST 2015	250	954	3181141	Escherichia coli_CCAT_AAB-9763_STST_73	1.0	0.0	0.0	942
Mon Oct 05 09:55:59 EST 2015	300	1230	4281753	Klebsiella_pneumoniae_ATCC_BAA-2146_STST_27	1.0	0.0	0.0	1243
Mon Oct 05 09:55:29 EST 2015	300	1230	4281753	Escherichia coli_CCAT_AAB-9763_STST_73	1.0	0.0	0.0	1243
Mon Oct 05 09:56:49 EST 2015	350	1476	5301868	Klebsiella_pneumoniae_ATCC_BAA-2146_STST_27	1.0	0.0	0.0	1552
Mon Oct 05 09:56:59 EST 2015	350	1476	5301868	Escherichia coli_CCAT_AAB-9763_STST_73	1.0	0.0	0.0	1552
